Date,Total Occ.,Arr. Rooms,Dep. Rooms,,,,
01-Feb-2020,166,109,66,,,,
02-Feb-2020,172,91,85,,,,
03-Feb-2020,132,77,117,,,,
04-Feb-2020,118,56,70,,,,
05-Feb-2020,103,75,90,,,,
06-Feb-2020,100,54,57,,,,
07-Feb-2020,116,58,42,,,,
08-Feb-2020,112,80,84,,,,
09-Feb-2020,94,46,64,,,,
10-Feb-2020,88,42,48,,,,
11-Feb-2020,104,61,45,,,,
12-Feb-2020,122,77,59,,,,
13-Feb-2020,136,80,66,,,,
14-Feb-2020,139,88,85,,,,
15-Feb-2020,439,412,111,,,,
16-Feb-2020,377,46,108,,,,
17-Feb-2020,357,41,61,,,,
18-Feb-2020,330,21,48,,,,
19-Feb-2020,403,167,94,,,,
20-Feb-2020,166,31,267,,,,
21-Feb-2020,115,54,105,,,,
22-Feb-2020,80,32,67,,,,
23-Feb-2020,56,17,41,,,,
24-Feb-2020,46,17,27,,,,
25-Feb-2020,43,8,11,,,,
26-Feb-2020,79,43,7,,,,
27-Feb-2020,44,1,46,,,,
28-Feb-2020,44,11,5,,,,
29-Feb-2020,27,3,18,,,,